Wall time,Step,Value
1742048608.777649,6449368,-22368.880859375
1742048644.839336,6499712,-22681.48046875
1742048681.5188541,6551616,-22605.9296875
1742048718.3809335,6602336,-21977.58984375
1742048754.4962285,6653328,-23415.6796875
1742048791.0193965,6704168,-22042.44921875
1742048827.2244024,6755000,-22150.060546875
1742048863.7050326,6805400,-21958.220703125
1742048900.539134,6856408,-21726.25
1742048936.317741,6906872,-22096.4609375
1742048971.9081507,6957944,-21316.240234375
1742049008.0200703,7009008,-22074.41015625
1742049044.3379235,7059888,-22367.6796875
1742049080.5959997,7110056,-21196.419921875
1742049117.1589832,7160800,-22504.390625
1742049152.697637,7211216,-22607.9296875
1742049188.6015232,7261312,-22402.849609375
1742049225.079257,7312176,-23800.349609375
1742049261.2005265,7362720,-24436.0703125
1742049296.871462,7413112,-22359.3203125
1742049333.3431742,7464824,-23710.91015625
1742049368.660675,7514352,-21595.380859375
1742049405.1655352,7565344,-22814.08984375
1742049440.9603033,7616280,-21900.140625
1742049477.704216,7667880,-22879.220703125
1742049514.2343237,7718824,-22238.3203125
1742049550.4141388,7769704,-21258.419921875
1742049587.0247211,7820944,-22904.98046875
1742049623.4796505,7872192,-21984.23046875
1742049659.6855378,7923144,-23102.080078125
1742049695.664265,7973264,-22799.19921875
1742049730.8064482,8023824,-21460.2890625
1742049767.2766118,8074632,-22166.44921875
1742049802.3090067,8124872,-22079.6796875
1742049838.409525,8175456,-21382.939453125
1742049874.8066895,8225656,-22802.5390625
1742049910.6533682,8276368,-21077.16015625
1742049947.1368306,8327008,-22552.400390625
1742049984.240434,8377688,-22373.3203125
1742050020.9024236,8428216,-23833.259765625
1742050058.0241525,8478504,-21722.30078125
1742050094.8260221,8530048,-22292.560546875
1742050131.9523423,8582024,-22500.630859375
1742050168.1364043,8632736,-21242.919921875
1742050203.860384,8683152,-22605.189453125
1742050240.3018754,8734208,-21647.2890625
1742050276.1166937,8784840,-21586.91015625
1742050312.2200308,8835720,-21484.130859375
1742050348.6425135,8886904,-22416.33984375
1742050385.0583088,8938128,-22689.900390625
1742050420.6562521,8989544,-22662.939453125
1742050457.1992805,9040976,-22082.970703125
1742050493.4931827,9091096,-23125.5
1742050530.4813552,9142416,-21876.630859375
1742050566.1796863,9192376,-22043.369140625
1742050601.8976226,9242560,-23014.630859375
1742050638.9083726,9294256,-23703.130859375
1742050676.1586175,9345376,-22375.560546875
1742050714.0783029,9396888,-21636.439453125
1742050750.2526715,9447288,-24221.140625
1742050787.2521496,9498504,-23577.029296875
1742050823.705617,9549552,-22702.080078125
1742050859.3541536,9599920,-21759.73046875
1742050895.3613033,9650640,-23527.8203125
1742050931.2916384,9701664,-21901.330078125
1742050966.5969021,9751600,-22112.48046875
1742051002.44865,9802616,-23273.439453125
1742051037.9247403,9854048,-23026.390625
1742051073.1079307,9904568,-22064.369140625
1742051108.396322,9956024,-22744.150390625
